Root,Transliteration,Meaning,Voice,Class
धू,dhu,"to shake, \nto agitate\nto shake, \nto excite\nto shake, \nto excite\nto shake\nto cause \nto tremble\nto shake\nto tremble",,
धुक्ष्,dhuksh,"to kindle\nto be harassed or weary, \nto live",,
धूप्,dhup,"to heat, \nto fumigate, \nto perfume, \nto be heated\nto speak, \nto shine",,
धूर्,dhur,"to kill, \nto go",,
धुर्व्,dhurv,"to injure, hurt or kill",,
धूश्,dhush,dhūs to make splendid,,
ध्वज्,dhvaj,to go\nto go,,
ध्वण्,dhvan,to sound,,
ध्वन्,dhvan,to sound\nto sound,,
ध्वांक्ष्,dhvanksh,to desire\nto caw\nto crow,,
ध्वृ,dhvri,to bend\nto kill,,
ध्यै,dhyai,"to think of, \nto meditate, \nto recollect",,
डी,di,to fly\nto fly\nto pass through the air,,
दी,di,"to perish, \nto decay",,
दिधी,didhi,to shine\nto appear,,
दिक्ष्,diksh,to increase\nto anoint\nto soil,,
दीक्ष्,diksh,"to be shaved\nto perform a sacrifice, \nto invest with a sacred thread\nto practise self-restraint\nto teach religious observances\nto prepare oneself for the performance of a sacred rite\nto dedicate oneself \nto",,
दिन्व्,dinv,"to be glad or pleased, \nto gladden, \nto please",,
डिप्,dip,"to collect, \nto heap \ntogether\nto throw\nto throw, \nto send",,
दीप्,dip,"to shine, \nto burn, \nto be illustrious",,
दिश्,dish,to give\nto order\nto tell\nto show\nto grant,,
दिव्,div,"to cause \nto lament\nto lament\nto play with dice or gamble, \nto desire\nto overcome, \nto traffic, \nto shine, \nto praise, \nto be glad, \nto be mad or drunk, \nto be sleepy, \nto wish for, \nto go\nto rub",,
द्O,do,"to cut, \nto mow",,
द्रा,dra,"to run, \nto fly, \nto be spoiled, \nto sleep",,
द्राड्,drad,"to cut, \nto split",,
द्राघ्,dragh,to be able\nto stretch\nto exert oneself\nto be weary\nto vex\nto wander about,,
द्राह्,drah,to wake,,
द्रै,drai,to sleep,,
द्राख्,drakh,to become dry\nto be able\nto prevent\nto adorn,,
द्रम्,dram,to go\nto run,,
द्रांक्ष्,dranksh,"to desire, \nto utter a discordant sound",,
द्रेक्,drek,to sound\nto show joy\nto be exhilarated,,
दृ,dri,"to kill\nto fear\nto honour\nto care for\nto tear, \nto split open\nto fear",,
दृभ्,dribh,"to fear\nto string, \nto connect\nto string\nto connect\nto tie\nto string",,
दृह्,drih,to increase\nto prosper\nto fasten\nto be firm,,
दृंफ्,drinph,to give pain,,
दृप्,drip,"to be glad\nto be proud\nto give pain\nto light, \nto kindle\nto light\nto kindle\nto inflame",,
दृफ्,driph,to give pain,,
दृश्,drish,to see\nto behold\nto visit\nto learn\nto investigate,,
द्र्Oढव्य,drodhavya,"drohitavya, drogdhum or droḍhum or drohitum",,
द्रु,dru,"to go, \nto flow, \nto run\nto retreat, \nto melt\nto attack, \nto rush\nto kill",,
द्रुह्,druh,"to bear hatred, \nto seek \nto hurt",,
द्रुण्,drun,to go\nto kill\nto make crooked,,
दु,du,"to give pain, \nto burn, \nto be distressed\nto go",,
दुह्,duh,"to injure, hurt or kill\nto milk\nto extract\nto yield",,
दुह्ख्,duhkh,to give pain,,
दुल्,dul,to shake \nto and fro,,
दुर्व्,durv,to kill,,
दुष्,dush,"to be soiled, \nto be impure, \nto sin",,
द्विष्,dvish,to hate\nto dislike,,
द्वृ,dvri,"to cover, \nto appropriate",,
द्यै,dyai,to despise\nto disfigure,,
द्यु,dyu,"to assail, \nto advance \ntowards",,
द्युत्,dyut,to shine\nto be bright,,
एध्,edh,"to grow: \nto increase, \nto prosper, \nto extend, \nto swell, \nto rise",,
एज्,ej,to shine\nto tremble or shake,U,1
एष्,esh,to go,,
एट्,et,to annoy\nto oppose,,
ग,ga,"to sing, \nto relate",,
गा,ga,"to praise, \nto be born\nto go",,
गड्,gad,to distil,P,1
गद्,gad,"to speak, \nto say\nto thunder",P,1
गाध्,gadh,"to set out for, \nto dive, \nto seek, \nto compile, \nto string \ntogether, \nto stay",,
गह्,gah,"to be thick, \nto enter deeply in\nto",,
गाह्,gah,"to dive, \nto bathe\nto penetrate, \nto agitate or churn, \nto be absorbed in\nto hide onself in\nto destroy",,
गज्,gaj,to sound\nto sound\nto sound or roar\nto be drunk or confused,,
गल्,gal,"to eat\nto drip\nto flow, \nto dissolve",,
गल्भ्,galbh,to be bold or confident,,
गल्ह्,galh,"to blame, \nto censure",,
गम्,gam,to go,P,1
गण्,gan,to count,,
गण्ड्,gand,to affect the cheek,,
गन्द्,gand,to affect the cheek,,
गन्ध्र्,gandhr,"to injure, \nto ask",,
गर्ब्,garb,to go,,
